position,country,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points,year,total,percent,code
1,Brazil,6,5,1,0,16,4,12,11,1958,319,0.116550968,BRA
2,Sweden,6,4,1,1,12,7,5,9,1958,20,0.007307271,SWE
3,France,6,4,0,2,23,15,8,8,1958,23,0.008403361,FRA
4,Germany,6,2,2,2,12,14,−2,6,1958,63,0.023017903,DEU
5,Wales,5,1,3,1,4,4,0,5,1958,,,GBR
6,Russia,5,2,1,2,5,6,−1,5,1958,,,RUS
7,Ireland,5,2,1,2,6,10,−4,5,1958,7,0.002557545,IRL
9,Czech Republic,4,1,1,2,9,6,3,3,1958,,,CZE
10,Hungary,4,1,1,2,7,5,2,3,1958,9,0.003288272,HUN
11,England,4,0,3,1,4,5,−1,3,1958,,,GBR
12,Paraguay,3,1,1,1,9,12,−3,3,1958,3,0.001096091,PRY
13,Argentina,3,1,0,2,5,10,−5,2,1958,52,0.018998904,ARG
14,Scotland,3,0,1,2,4,6,−2,1,1958,,,GBR
15,Austria,3,0,1,2,2,7,−5,1,1958,6,0.002192181,AUT
16,Mexico,3,0,1,2,1,8,−7,1,1958,81,0.029594446,MEX
1,Italy,4,4,0,0,11,5,6,8,1938,26,0.009499452,ITA
2,Hungary,4,3,0,1,15,5,10,6,1938,9,0.003288272,HUN
3,Brazil,5,3,1,1,14,11,3,7,1938,319,0.116550968,BRA
4,Sweden,3,1,0,2,11,9,2,2,1938,20,0.007307271,SWE
5,Czech Republic,3,1,1,1,5,3,2,3,1938,,,CZE
6,Switzerland,3,1,1,1,5,5,0,3,1938,9,0.003288272,CHE
7,Cuba,3,1,1,1,5,12,−7,3,1938,3,0.001096091,CUB
8,France,2,1,0,1,4,4,0,2,1938,23,0.008403361,FRA
9,Romania,2,0,1,1,4,5,-1,1,1938,10,0.003653635,ROU
10,Germany,2,0,1,1,3,5,-2,1,1938,63,0.023017903,DEU
11,Poland,1,0,0,1,5,6,−1,0,1938,3,0.001096091,POL
12,Norway,1,0,0,1,1,2,−1,0,1938,10,0.003653635,NOR
13,Belgium,1,0,0,1,1,3,−2,0,1938,13,0.004749726,BEL
14,Netherlands,1,0,0,1,0,3,−3,0,1938,26,0.009499452,NLD
15,Dutch East Indies,1,0,0,1,0,6,−6,0,1938,,,IDN
1,England,6,5,1,0,11,3,8,11,1966,,,GBR
2,Germany,6,4,1,1,15,6,9,9,1966,63,0.023017903,DEU
3,Portugal,6,5,0,1,17,8,9,10,1966,22,0.008037998,PRT
4,Russia,6,4,0,2,10,6,4,8,1966,,,RUS
5,Argentina,4,2,1,1,4,2,2,5,1966,52,0.018998904,ARG
6,Hungary,4,2,0,2,8,7,1,4,1966,9,0.003288272,HUN
7,Uruguay,4,1,2,1,2,5,−3,4,1966,4,0.001461454,URY
8,North Korea,4,1,1,2,5,9,−4,3,1966,,,PRK
9,Italy,3,1,0,2,2,2,0,2,1966,26,0.009499452,ITA
10,Spain,3,1,0,2,4,5,−1,2,1966,104,0.037997808,ESP
11,Brazil,3,1,0,2,4,6,−2,2,1966,319,0.116550968,BRA
12,Mexico,3,0,2,1,1,3,−2,2,1966,81,0.029594446,MEX
13,Chile,3,0,1,2,2,5,−3,1,1966,23,0.008403361,CHL
13,France,3,0,1,2,2,5,−3,1,1966,23,0.008403361,FRA
15,Bulgaria,3,0,0,3,1,8,−7,0,1966,2,0.000730727,BGR
16,Switzerland,3,0,0,3,1,9,−8,0,1966,9,0.003288272,CHE
1,Uruguay,4,3,1,0,15,5,10,7,1950,4,0.001461454,URY
2,Brazil,6,4,1,1,22,6,16,9,1950,319,0.116550968,BRA
3,Sweden,5,2,1,2,11,15,−4,5,1950,20,0.007307271,SWE
4,Spain,6,3,1,2,10,12,−2,7,1950,104,0.037997808,ESP
6,Switzerland,3,1,1,1,4,6,−2,3,1950,9,0.003288272,CHE
7,Italy,2,1,0,1,4,3,1,2,1950,26,0.009499452,ITA
8,England,3,1,0,2,2,2,0,2,1950,,,GBR
9,Chile,3,1,0,2,5,6,−1,2,1950,23,0.008403361,CHL
10,United States,3,1,0,2,4,8,−4,2,1950,1064,0.388746803,USA
11,Paraguay,2,0,1,1,2,4,−2,1,1950,3,0.001096091,PRY
12,Mexico,3,0,0,3,2,10,−8,0,1950,81,0.029594446,MEX
13,Bolivia,1,0,0,1,0,8,−8,0,1950,,,BOL
1,Germany,6,5,0,1,25,14,11,10,1954,63,0.023017903,DEU
2,Hungary,5,4,0,1,27,10,17,8,1954,9,0.003288272,HUN
3,Austria,5,4,0,1,17,12,5,8,1954,6,0.002192181,AUT
4,Uruguay,5,3,0,2,16,9,7,6,1954,4,0.001461454,URY
5,Switzerland,4,2,0,2,11,11,0,4,1954,9,0.003288272,CHE
6,Brazil,3,1,1,1,8,5,3,3,1954,319,0.116550968,BRA
7,England,3,1,1,1,8,8,0,3,1954,,,GBR
9,Turkey,3,1,0,2,10,11,−1,2,1954,7,0.002557545,TUR
10,Italy,3,1,0,2,6,7,−1,2,1954,26,0.009499452,ITA
